No,Desa/Kelurahan,Kecamatan,Luas total area,Jarak ke ibu kota kecamatan ,Jarak ke ibu kota kabupaten ,Akomodasi. hotel. homestay,Restourant/Tempat makan,Jenis prasarana trasportasi,Jenis permukaan  jalan darat,Jumlah Menara Telepon Seluler,Media Online,Pantai/Danau,Failitas,Harga Tiket,Rating,Wisman,Wisnus
1,Pandan Lanjang,Arosbaya,1,2,12,0,0,1,1,0,0,0,0,0,0,0,0
2,Batonaong,Arosbaya,5,8,20,0,0,1,1,0,0,0,0,0,0,0,0
3,Glagga,Arosbaya,6,6,23,0,0,1,1,0,0,0,0,0,0,0,0
4,Ombul,Arosbaya,3,5,22,0,0,1,1,0,0,0,0,0,0,0,0
5,Balung,Arosbaya,3,4,16,0,0,1,2,1,0,0,1,0,0,0,0
6,Lajing,Arosbaya,6,2,12,0,0,1,1,2,0,0,1,0,0,0,0
7,Tengket,Arosbaya,3,2,16,0,1,1,1,2,0,0,1,0,0,0,0
8,Arosbaya,Arosbaya,1,1,17,0,1,1,1,3,0,0,1,0,0,0,0
9,Karang Duwak,Arosbaya,4,4,22,0,0,1,2,0,0,0,1,0,0,0,0
10,Dlemer,Arosbaya,1,2,20,0,0,1,1,0,0,0,0,0,0,0,0
11,Mangkon,Arosbaya,0,2,19,0,0,1,1,0,0,0,1,0,0,0,0
12,Berbeluk,Arosbaya,2,3,20,0,0,1,1,0,0,0,1,0,0,0,0
13,Cendagah,Arosbaya,1,3,19,0,0,1,1,1,0,0,1,0,0,0,0
14,Karang Pao,Arosbaya,5,2,19,0,0,1,1,0,0,0,0,0,0,0,0
15,Makam Agung,Arosbaya,6,3,14,0,0,1,1,0,0,0,1,0,0,0,0
16,Plakaran,Arosbaya,3,1,13,0,0,1,1,0,0,0,1,0,0,0,0
17,Buduran,Arosbaya,3,2,19,0,1,1,1,1,1,2,3,30000,4,0,1750
18,Tambegan,Arosbaya,6,2,20,0,0,1,1,0,0,0,0,0,0,0,0
19,Ujung Piring,Bangkalan,3,9,7,0,0,1,1,1,1,1,3,10000,4,0,978
20,Sembilangan,Bangkalan,45537,9,8,0,0,1,1,2,1,1,2,3000,3,0,1606
21,Kramat,Bangkalan,4,9,8,0,0,1,1,2,0,0,0,0,0,0,0
22,Mertajasah,Bangkalan,0,4,2,1,1,1,1,1,1,1,3,2000,5,50,607682
23,Mlajah,Bangkalan,6,5,1,0,6,1,1,4,1,4,2,2000,4,0,29862
24,Kemayoran,Bangkalan,1,2,1,1,3,1,1,3,1,5,1,30000,5,0,969
25,Pangeranan,Bangkalan,1,1,5,0,0,1,1,1,1,1,2,10000,4,0,3212
26,Demangan,Bangkalan,0,1,2,2,2,1,1,1,1,5,3,2000,4,4,23474
27,Keraton,Bangkalan,45413,1,6,2,3,1,1,2,1,1,4,15000,5,0,607682
28,Pejagan,Bangkalan,1,2,4,4,1,1,1,5,1,5,2,18000,4,0,626016
29,Bancaran,Bangkalan,5,5,7,0,3,1,1,4,1,2,4,30000,4,0,3212
30,Sabiyan,Bangkalan,2,6,8,0,0,1,1,2,0,0,0,0,0,0,0
31,Gebang,Bangkalan,3,6,8,0,0,1,1,1,0,0,0,0,0,0,0
32,Gigir,Blega,8,7,38,0,0,1,1,0,0,0,0,0,0,0,0
33,Ko'Olan,Blega,3,6,43,0,0,1,1,0,0,0,0,0,0,0,0
34,Pangeran Gedungan,Blega,3,5,42,0,0,1,1,0,0,0,0,0,0,0,0
35,Panjalinan,Blega,3,4,45,0,0,1,1,1,0,0,0,0,0,0,0
36,Rosep,Blega,3,2,42,0,2,1,1,0,0,0,0,0,0,0,0
37,Kampao,Blega,45384,4,39,0,0,1,1,0,0,0,0,0,0,0,0
38,Lombang Laok,Blega,2,4,40,0,1,1,1,0,0,0,0,0,0,0,0
39,Lombang Daya,Blega,9,6,37,0,0,1,1,2,0,0,0,0,0,0,0
40,Karpote,Blega,5,2,38,0,1,1,1,0,0,0,0,0,0,0,0
41,Blegaoloh,Blega,1,3,40,0,0,1,1,0,0,0,0,0,0,0,0
42,Karang Gayam,Blega,4,4,45,1,3,1,1,0,0,0,0,0,0,0,0
43,Lomaer,Blega,6,5,45,0,0,1,1,1,0,0,0,0,0,0,0
44,Bates,Blega,5,6,53,0,0,1,1,1,0,0,0,0,0,0,0
45,Karang Panasan,Blega,2,3,44,0,3,1,1,0,0,0,0,0,0,0,0
46,Karangnangka,Blega,4,3,42,0,0,1,1,0,0,0,0,0,0,0,0
47,Blega,Blega,7,1,39,0,9,1,1,4,0,0,0,0,0,0,0
48,Nyor Manis,Blega,5,2,42,0,0,1,1,0,0,0,0,0,0,0,0
49,Alasraja,Blega,8,4,43,0,0,1,1,0,0,0,0,0,0,0,0
50,Kajan,Blega,5,7,2,0,0,1,1,1,0,0,0,0,0,0,0
51,Burneh,Burneh,7,1,6,0,5,1,1,1,1,3,1,25000,4,0,2322
52,Tonjung,Burneh,7,1,6,0,5,1,1,2,0,0,0,0,0,0,0
53,Jambu,Burneh,2,2,8,0,0,1,1,0,0,0,0,0,0,0,0
54,Langkap,Burneh,6,2,7,0,0,1,1,2,0,0,0,0,0,0,0
55,Benangkah,Burneh,10,3,9,0,1,1,1,1,0,0,0,0,0,0,0
56,Kapor,Burneh,3,3,8,0,0,1,1,0,0,0,0,0,0,0,0
57,Arok,Burneh,1,3,8,0,0,1,1,0,0,0,0,0,0,0,0
58,Sobih,Burneh,0,4,12,0,0,1,1,0,0,0,0,0,0,0,0
59,Pangolangan,Burneh,5,6,11,0,0,1,1,0,0,0,0,0,0,0,0
60,Perreng,Burneh,0,7,13,0,0,1,1,1,0,0,0,0,0,0,0
61,Alas Kembang,Burneh,4,8,13,0,0,1,1,1,0,0,0,0,0,0,0
62,Binoh,Burneh,5,8,14,0,0,1,1,1,0,0,0,0,0,0,0
63,Pekadan,Galis,4,6,32,0,0,1,1,1,0,0,0,0,0,0,0
64,Kajuanak,Galis,5,5,30,0,0,1,1,1,0,0,0,0,0,0,0
65,Paterongan,Galis,4,2,28,0,0,1,1,5,0,0,0,0,0,0,0
66,Galis,Galis,3,1,27,0,0,1,1,4,0,0,0,0,0,0,0
67,Paka'An Laok,Galis,45295,3,28,0,0,1,1,0,0,0,0,0,0,0,0
68,Kranggan Timur,Galis,2,6,26,0,0,1,1,1,0,0,0,0,0,0,0
69,Separah,Galis,3,5,23,0,0,1,1,0,0,0,0,0,0,0,0
