No,Desa/Kelurahan,Kecamatan,Luas total area,Jarak ke ibu kota kecamatan ,Jarak ke ibu kota kabupaten ,Akomodasi. hotel. homestay,Restourant/Tempat makan,Jenis prasarana trasportasi,Jenis permukaan  jalan darat,Jumlah Menara Telepon Seluler,Media Online,Pantai/Danau,Failitas,Harga Tiket,Rating,Wisman,Wisnus
49,Alasraja,Blega,8.59,4,43,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
50,Kajan,Blega,5.35,7,2,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
51,Burneh,Burneh,7.56,1,6,0,5,Darat,Aspal/Beton,1,Ada,3,1,25.000,4,0,2.322
52,Tonjung,Burneh,7.91,1,6,0,5,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
53,Jambu,Burneh,2.34,2,8,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
54,Langkap,Burneh,6.26,2,7,0,0,Darat,Aspal/Beton,2,Tidak Ada,0,0,0,0,0,0
55,Benangkah,Burneh,10.47,3,9,0,1,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
56,Kapor,Burneh,3.65,3,8,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
57,Arok,Burneh,1.71,3,8,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
58,Sobih,Burneh,45.569.00,4,12,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
59,Pangolangan,Burneh,5.40,6,11,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
60,Perreng,Burneh,45.509.00,7,13,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
61,Alas Kembang,Burneh,4.81,8,13,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
62,Binoh,Burneh,5.82,8,14,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
63,Pekadan,Galis,4.41,6,32,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
64,Kajuanak,Galis,5.37,5,30,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
65,Paterongan,Galis,4.34,2,28,0,0,Darat,Aspal/Beton,5,Tidak Ada,0,0,0,0,0,0
66,Galis,Galis,3.89,1,27,0,0,Darat,Aspal/Beton,4,Tidak Ada,0,0,0,0,0,0
67,Paka'An Laok,Galis,"45.295,00",3,28,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
68,Kranggan Timur,Galis,2.65,6,26,0,0,Darat,Aspal/Beton,1,Tidak Ada,0,0,0,0,0,0
69,Separah,Galis,3.94,5,23,0,0,Darat,Aspal/Beton,0,Tidak Ada,0,0,0,0,0,0
