No,Desa/Kelurahan,Kecamatan,Luas total area,Jarak ke ibu kota kecamatan ,Jarak ke ibu kota kabupaten ,Akomodasi. hotel. homestay,Restourant/Tempat makan,Jenis prasarana trasportasi,Jenis permukaan  jalan darat,Jumlah Menara Telepon Seluler,Media Online,Pantai/Danau,Failitas,Harga Tiket,Rating,Wisman,Wisnus
84,425,7,12,2,38,0,0,1,1,0,0,0,0,0,0,0,0
85,229,7,14,21,45,0,0,1,2,1,0,0,0,0,0,0,0
86,119,7,17,10,39,0,0,1,1,2,1,2,2,10000,4,0,3236
87,54,7,8,5,24,0,0,1,1,1,0,0,0,0,0,0,0
88,408,7,3,4,24,0,0,1,1,0,0,0,0,0,0,0,0
89,94,7,6,1,17,0,0,1,1,1,0,0,0,0,0,0,0
90,206,7,4,2,25,0,0,1,1,0,0,0,0,0,0,0,0
91,157,7,10,3,27,0,0,1,1,1,0,0,0,0,0,0,0
92,204,7,11,5,35,0,0,1,1,4,0,0,0,0,0,0,0
93,97,7,10,14,30,0,0,1,2,1,0,0,0,0,0,0,0
94,178,7,7,8,45,0,0,1,1,0,0,0,0,0,0,0,0
95,36,7,45393,9,45,0,0,1,1,1,0,0,0,0,0,0,0
96,35,7,5,7,35,0,0,1,1,0,0,0,0,0,0,0,0
97,385,9,0,2,18,0,0,1,1,0,0,0,0,0,0,0,0
98,124,9,4,1,18,0,0,1,1,2,0,0,0,0,0,0,0
99,37,9,45600,1,18,0,2,1,1,4,0,0,0,0,0,0,0
100,153,9,1,3,18,1,2,1,1,3,1,1,4,15000,4,0,2301
101,404,9,0,3,18,0,1,1,1,1,0,0,0,0,0,0,0
102,180,9,3,2,18,0,0,1,1,2,0,0,0,0,0,0,0
103,125,9,7,1,12,0,0,1,1,3,1,1,1,7000,4,0,2301
104,123,9,2,1,17,0,0,1,1,0,0,0,0,0,0,0,0
105,411,9,9,5,10,0,1,1,1,4,0,0,0,0,0,0,0
106,322,9,7,7,10,0,0,1,1,1,0,0,0,0,0,0,0
107,427,13,1,6,16,0,0,1,1,0,0,0,0,0,0,0,0
108,342,13,0,5,13,0,0,1,1,1,0,0,0,0,0,0,0
109,259,13,3,6,12,0,0,1,1,1,0,0,0,0,0,0,0
110,338,13,1,4,20,0,0,1,1,1,0,0,0,0,0,0,0
111,164,13,45413,3,20,0,0,1,1,1,0,0,0,0,0,0,0
112,34,13,45328,7,19,0,0,1,1,1,0,0,0,0,0,0,0
113,76,13,45480,6,30,0,0,1,1,3,0,0,0,0,0,0,0
114,228,13,4,6,31,0,0,1,1,2,0,0,0,0,0,0,0
115,304,13,5,4,33,0,0,1,1,1,0,0,0,0,0,0,0
116,223,13,5,1,27,0,0,1,1,3,0,0,0,0,0,0,0
